Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 21.56     49.80    49.80   120000     0.00     0.00  forward_prop(std::vector<float, std::allocator<float> >)
 21.05     98.44    48.64 8299653408     0.00     0.00  std::vector<Neuron, std::allocator<Neuron> >::operator[](unsigned long)
 16.07    135.56    37.12 5682808408     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
 15.74    171.91    36.36 8345134650     0.00     0.00  std::vector<Linear, std::allocator<Linear> >::operator[](unsigned long)
 13.83    203.87    31.95    60000     0.00     0.00  back_prop(std::vector<float, std::allocator<float> >, std::vector<float, std::allocator<float> >)
  7.53    221.25    17.39 2868201706     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  1.45    224.60     3.35  9408000     0.00     0.00  __gnu_cxx::__promote_2<float, int, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<float, int>(float, int)
  0.59    225.96     1.35 38052006     0.00     0.00  std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::operator[](unsigned long)
  0.54    227.21     1.25  1800000     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float const&)
  0.49    228.34     1.14   152006     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::vector(std::vector<unsigned char, std::allocator<unsigned char> > const&)
  0.47    229.43     1.08        3     0.36     0.36  std::vector<Linear, std::allocator<Linear> >::~vector()
  0.13    229.72     0.30 55070000     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
  0.12    230.00     0.28        1     0.28     0.78  void mnist::read_mnist_image_file<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, mnist::read_dataset_direct<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long)::{lambda()#1}>(std::vector<std::vector<unsigned char, std::allocator<unsigned char> > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, mnist::read_dataset_direct<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long)::{lambda()#1})
  0.11    230.26     0.26 54904002     0.00     0.00  std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >::operator[](unsigned long)
  0.06    230.39     0.13        2     0.07     2.81  process_images(std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > >, int)
  0.03    230.45     0.06        2     0.03     0.23  compute_mu(std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >)
  0.03    230.51     0.06        2     0.03     1.90  compute_std(std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >, float)
  0.02    230.56     0.05   900000     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_realloc_insert<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.02    230.60     0.04        1     0.04     0.12  void mnist::read_mnist_image_file<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, mnist::read_dataset_direct<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long)::{lambda()#2}>(std::vector<std::vector<unsigned char, std::allocator<unsigned char> > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, mnist::read_dataset_direct<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long)::{lambda()#2})
  0.02    230.63     0.04   292014     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::~vector()
  0.01    230.66     0.02 10800000     0.00     0.00  std::tanh(float)
  0.01    230.68     0.02  6176276     0.00     0.00  float* std::__niter_base<float*>(float*)
  0.01    230.69     0.02  4200000     0.00     0.00  __gnu_cxx::__promote_2<float, double, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type>::__type std::pow<float, double>(float, double)
  0.01    230.72     0.02  2016640     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.01    230.74     0.02  1946480     0.00     0.00  std::vector<float, std::allocator<float> >::_S_max_size(std::allocator<float> const&)
  0.01    230.75     0.02  1922480     0.00     0.00  std::vector<float, std::allocator<float> >::_S_relocate(float*, float*, float*, std::allocator<float>&)
  0.01    230.78     0.02  1200000     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator++()
  0.01    230.79     0.02  1080000     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >) const
  0.01    230.81     0.02   120000     0.00     0.00  verify_classification()
  0.01    230.84     0.02    12000     0.00     0.00  float* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<unsigned char*, float*>(unsigned char*, unsigned char*, float*)
  0.01    230.85     0.01    12004     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::begin()
  0.00    230.86     0.01  6772960     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00    230.87     0.01  2372592     0.00     0.00  operator new(unsigned long, void*)
  0.00    230.88     0.01  2359400     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator*() const
  0.00    230.89     0.01  1922480     0.00     0.00  float* std::__relocate_a<float*, float*, std::allocator<float> >(float*, float*, float*, std::allocator<float>&)
  0.00    230.90     0.01  1922480     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<float, void>::value, float*>::type std::__relocate_a_1<float, float>(float*, float*, float*, std::allocator<float>&)
  0.00    230.91     0.01  1090556     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00    230.92     0.01   961240     0.00     0.00  std::vector<float, std::allocator<float> >::_M_check_len(unsigned long, char const*) const
  0.00    230.93     0.01   886436     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
  0.00    230.94     0.01   600000     0.00     0.00  MSEdLoss(float, float)
  0.00    230.95     0.01   384836     0.00     0.00  std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&)
  0.00    230.96     0.01   304012     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char const* const&)
  0.00    230.97     0.01   292014     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::~_Vector_base()
  0.00    230.98     0.01   140006     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::__normal_iterator(std::vector<unsigned char, std::allocator<unsigned char> >* const&)
  0.00    230.99     0.01    70002     0.00     0.00  unsigned char* std::__uninitialized_default_n_1<true>::__uninit_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long)
  0.00    231.00     0.01    60000     0.00     0.00  MSELoss(std::vector<float, std::allocator<float> >, std::vector<float, std::allocator<float> >)
  0.00    231.01     0.01    12000     0.00     0.00  float* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, float*, float>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, float*, std::allocator<float>&)
  0.00    231.01     0.01  7200000     0.00     0.00  sigma(float)
  0.00    231.02     0.01  3600000     0.00     0.00  dsigma(float)
  0.00    231.02     0.00  4500000     0.00     0.00  float const& std::forward<float const&>(std::remove_reference<float const&>::type&)
  0.00    231.02     0.00  3316556     0.00     0.00  __gnu_cxx::new_allocator<float>::_M_max_size() const
  0.00    231.02     0.00  3037036     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00    231.02     0.00  2705280     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00    231.02     0.00  2319316     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.00    231.02     0.00  1946480     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00    231.02     0.00  1946480     0.00     0.00  std::allocator_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00    231.02     0.00  1922480     0.00     0.00  std::vector<float, std::allocator<float> >::max_size() const
  0.00    231.02     0.00  1922480     0.00     0.00  std::vector<float, std::allocator<float> >::_S_do_relocate(float*, float*, float*, std::allocator<float>&, std::integral_constant<bool, true>)
  0.00    231.02     0.00  1800000     0.00     0.00  void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&)
  0.00    231.02     0.00  1800000     0.00     0.00  void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&)
